[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:50.908+0300][1,757s][info][gc] Trigger: Average GC time (11,54 ms) is above the time for allocation rate (622 MB/s) to deplete free headroom (6758K)
[2021-04-30T09:22:50.908+0300][1,757s][info][gc] GC(9) Concurrent reset 0,152ms
[2021-04-30T09:22:50.908+0300][1,758s][info][gc] GC(9) Pause Init Mark 0,168ms
[2021-04-30T09:22:50.912+0300][1,762s][info][gc] GC(9) Concurrent marking 4,092ms
[2021-04-30T09:22:50.913+0300][1,762s][info][gc] GC(9) Pause Final Mark 0,360ms
[2021-04-30T09:22:50.913+0300][1,763s][info][gc] GC(9) Concurrent cleanup 110M->110M(128M) 0,039ms
[2021-04-30T09:22:50.914+0300][1,764s][info][gc] GC(9) Concurrent evacuation 1,016ms
[2021-04-30T09:22:50.914+0300][1,764s][info][gc] GC(9) Pause Init Update Refs 0,005ms
[2021-04-30T09:22:50.917+0300][1,766s][info][gc] GC(9) Concurrent update references 2,773ms
[2021-04-30T09:22:50.917+0300][1,767s][info][gc] GC(9) Pause Final Update Refs 0,086ms
[2021-04-30T09:22:50.917+0300][1,767s][info][gc] GC(9) Concurrent cleanup 113M->15M(128M) 0,066ms
[2021-04-30T09:22:51.061+0300][1,911s][info][gc] Trigger: Average GC time (12,05 ms) is above the time for allocation rate (619 MB/s) to deplete free headroom (7526K)
[2021-04-30T09:22:51.061+0300][1,911s][info][gc] GC(10) Concurrent reset 0,110ms
[2021-04-30T09:22:51.062+0300][1,911s][info][gc] GC(10) Pause Init Mark (process weakrefs) 0,174ms
[2021-04-30T09:22:51.065+0300][1,915s][info][gc] GC(10) Concurrent marking (process weakrefs) 3,430ms
[2021-04-30T09:22:51.065+0300][1,915s][info][gc] GC(10) Concurrent precleaning 0,082ms
[2021-04-30T09:22:51.066+0300][1,915s][info][gc] GC(10) Pause Final Mark (process weakrefs) 0,302ms
[2021-04-30T09:22:51.066+0300][1,915s][info][gc] GC(10) Concurrent cleanup 109M->109M(128M) 0,035ms
[2021-04-30T09:22:51.067+0300][1,916s][info][gc] GC(10) Concurrent evacuation 0,938ms
[2021-04-30T09:22:51.067+0300][1,916s][info][gc] GC(10) Pause Init Update Refs 0,005ms
[2021-04-30T09:22:51.070+0300][1,919s][info][gc] GC(10) Concurrent update references 2,635ms
[2021-04-30T09:22:51.070+0300][1,919s][info][gc] GC(10) Pause Final Update Refs 0,099ms
[2021-04-30T09:22:51.070+0300][1,919s][info][gc] GC(10) Concurrent cleanup 112M->17M(128M) 0,061ms
[2021-04-30T09:22:51.208+0300][2,057s][info][gc] Trigger: Free (12800K) is below minimum threshold (13107K)
[2021-04-30T09:22:51.208+0300][2,058s][info][gc] GC(11) Concurrent reset 0,171ms
[2021-04-30T09:22:51.209+0300][2,058s][info][gc] GC(11) Pause Init Mark 0,166ms
[2021-04-30T09:22:51.212+0300][2,062s][info][gc] GC(11) Concurrent marking 3,627ms
[2021-04-30T09:22:51.213+0300][2,062s][info][gc] GC(11) Pause Final Mark 0,256ms
[2021-04-30T09:22:51.213+0300][2,062s][info][gc] GC(11) Concurrent cleanup 110M->110M(128M) 0,051ms
[2021-04-30T09:22:51.214+0300][2,063s][info][gc] GC(11) Concurrent evacuation 0,897ms
[2021-04-30T09:22:51.214+0300][2,063s][info][gc] GC(11) Pause Init Update Refs 0,004ms
[2021-04-30T09:22:51.217+0300][2,066s][info][gc] GC(11) Concurrent update references 2,568ms
[2021-04-30T09:22:51.217+0300][2,066s][info][gc] GC(11) Pause Final Update Refs 0,055ms
[2021-04-30T09:22:51.217+0300][2,066s][info][gc] GC(11) Concurrent cleanup 112M->17M(128M) 0,067ms
[2021-04-30T09:22:51.371+0300][2,220s][info][gc] Trigger: Free (12748K) is below minimum threshold (13107K)
[2021-04-30T09:22:51.371+0300][2,220s][info][gc] GC(12) Concurrent reset 0,177ms
[2021-04-30T09:22:51.371+0300][2,221s][info][gc] GC(12) Pause Init Mark 0,177ms
[2021-04-30T09:22:51.375+0300][2,224s][info][gc] GC(12) Concurrent marking 3,610ms
[2021-04-30T09:22:51.375+0300][2,225s][info][gc] GC(12) Pause Final Mark 0,197ms
[2021-04-30T09:22:51.375+0300][2,225s][info][gc] GC(12) Concurrent cleanup 110M->110M(128M) 0,038ms
